,full_text,weekday,month,day,hour,has_hashtag,has_url,like_count,is_reply,retweet_count,followers,following,user,screen_name
0,"Fight for freedom. Stand with Hong Kong!
#FreedomHK #HongKong https://t.co/IV9xVNvYNd",Mon,Aug,19,08,1,1,1,0,1,24,45,Soken,sochickenpa
1,RT @KH_Paque: Right! ⁦@anneapplebaum⁩ spells it out in ⁦@washingtonpost⁩: #Democracy &amp; #RuleOfLaw are not dead aims! People in #Hongkong &amp;…,Mon,Aug,19,08,1,0,0,0,1,2968,1062,Karl-Heinz Paqué,KH_Paque
2,"RT @Stand_with_HK: As the protestors are participating in an assembly in Hong Kong, people around the world also #StandWithHK today and fig…",Mon,Aug,19,08,1,0,0,0,102,3713,2889,Bill Bowring,BillBowring
3,"RT @Stand_with_HK: As the protestors are participating in an assembly in Hong Kong, people around the world also #StandWithHK today and fig…",Mon,Aug,19,08,1,0,0,0,102,62886,3188,Occupy London,OccupyLondon
4,"@Reuters @ReutersTV Please stand with Hong Kong!
Fight for freedom!!!
#HongKong 
#Hongkongprotest 
#HongKongProtesters 
#StandWithHongKong 
#BoycottChina 
#boycottMulan https://t.co/NTJsbSQIXr",Mon,Aug,19,08,1,0,0,1,0,0,21,frankcheung217,c_f1213
5,"RT @abcter: More than 1.7 million people had joined the 818 #ANTIELAB demonstration despite rainfall.
This is about one-fifth of HK populat…",Mon,Aug,19,07,1,0,0,0,3,122,1442,Artpopop,ROCKTEE_ART
6,Hong Kong and Russia protesters fight for democracy. The West should listen and learn. - The Washington Post https://t.co/ITagKt5c6C #HongKong #Russia #protests #democracy #elections #HumanRights #hkpoli #rupoli #snrtg,Mon,Aug,19,06,1,1,0,0,0,981,742,Peter V. Tretter,ap236
7,"Even under an heavy rain, “Stand with Hong Kong! Fight for freedom!”
#HongKongProtests #antiELAB #antiELABhk #HongKong #XiJinping
https://t.co/mz4Kv0X9nQ",Mon,Aug,19,06,1,1,0,0,0,23,23,cosmicrage,cosmicrage69
8,"August 19 - published in 14 newspapers of 11 countries organised by @FreedomHKG 
Fight for freedom!
Stand with Hong Kong!
#StandwithHK #FreedomHK #HongKong #antiEALB 

🇪🇸 El Mundo
🇫🇷 Le Monde
🇩🇪 FAZ.NET- Frankfurter Allgemeine Zeitung
🇸🇪 Dagens industri https://t.co/0kW8J3nuhz",Mon,Aug,19,06,1,0,0,0,0,3,10,Lamy,ladychkg
9,"I applaud these protesters. They are fighting tooth and nail for what they believe in. The Philippines should follow in their example and fight China's ever bullying and smart-ass government. #Hongkongprotest
https://t.co/x8Q1LSfzCC",Mon,Aug,19,05,1,1,1,0,0,1642,1689,Marie Sheila,TheTiredMamaPH
10,"RT @abcter: More than 1.7 million people had joined the 818 #ANTIELAB demonstration despite rainfall.
This is about one-fifth of HK populat…",Mon,Aug,19,05,1,0,0,0,3,5331,3745,8/23-24日比谷公園盆踊り‼️今と未来を生きるための気付きとヒント‼️,DreamStarAngels
11,"RT @standwithhk_: Our determination of fighting for democracy and our own rights.

Fight for freedom.
Stand with Hong Kong.

#StandwithHK…",Mon,Aug,19,05,1,0,0,0,1,11273,11521,b. insights,BarbaraRacek
12,Protesters fight for freedom at Charter Garden in Hong Kong. #hongkong #hongkongprotest #extradition #protesters #freedom #repression #humanrights #policestate https://t.co/iReFtEpa9g,Mon,Aug,19,04,1,0,0,0,0,151,148,Steve,StephenBoitano
13,"Hong Kong people doing crowdfunding to have advertisments on newspaper about their fight for freedom around the world. First stage - Japan

#nikkei
#StandWithHongKong
#Hongkongprotest https://t.co/Yxp352X5to",Mon,Aug,19,04,1,0,0,0,0,0,9,Dennis,Dennis88511821
14,"RT @MeaganKay: #HongKong pro #democracy activist Agnes Chow: for some, #Christian and #catholic #faith gives ""belief and courage to fight f…",Mon,Aug,19,04,1,0,0,0,2,3624,2061,Paul Glader,PaulGlader
15,"RT @MeaganKay: #HongKong pro #democracy activist Agnes Chow: for some, #Christian and #catholic #faith gives ""belief and courage to fight f…",Mon,Aug,19,04,1,0,0,0,2,2359,1201,Religion Unplugged,MediaProjectOrg
